time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 21:32:47:754,0.051,0.01,-0.963,-0.671,9.033,14.465,2.37,-17.73,5.03,6.376,6.4,0.042
2026-5-17 21:32:47:774,0.05,-0.003,-0.949,-0.549,6.592,14.648,2.42,-17.64,4.72,6.372,6.1,0.042
2026-5-17 21:32:47:794,0.048,-0.002,-0.958,1.587,3.296,15.076,2.5,-17.5,4.41,6.372,5.9,0.04
2026-5-17 21:32:47:814,0.051,0.017,-0.95,0.366,0.977,15.198,2.6,-17.3,4.09,6.372,6.2,0.036
2026-5-17 21:32:47:834,0.052,0.005,-0.955,-2.808,-0.793,15.32,2.63,-17.07,3.78,6.376,6.0,0.04
2026-5-17 21:32:47:854,0.048,-0.003,-0.949,-1.038,-3.906,15.442,2.65,-16.8,3.48,6.376,1774.2,0.036
2026-5-17 21:32:47:874,0.048,0.003,-0.955,0.427,-7.507,15.564,2.71,-16.45,3.17,6.264,477.8,0.34
2026-5-17 21:32:47:894,0.047,0.002,-0.949,-2.747,-10.193,15.259,2.74,-16.05,2.87,6.344,91.1,0.672
2026-5-17 21:32:47:914,0.046,-0.007,-0.869,-0.244,-13.489,15.442,2.76,-15.59,2.58,6.108,701.8,4.486
2026-5-17 21:32:47:934,0.05,0.022,-0.968,-0.854,-17.029,15.259,2.81,-15.07,2.29,6.16,663.1,3.942
2026-5-17 21:32:47:954,0.05,0.028,-0.895,-8.423,-18.738,14.771,2.74,-14.5,2.02,6.264,370.3,2.392
2026-5-17 21:32:47:974,0.047,-0.004,-0.814,-10.498,-20.874,14.587,2.57,-13.91,1.75,6.248,380.2,1.622
2026-5-17 21:32:47:994,0.04,-0.032,-0.92,-3.601,-23.254,14.648,2.47,-13.28,1.48,6.392,2.8,1.284
2026-5-17 21:32:48:14,0.038,0.012,-0.875,-1.099,-26.123,14.343,2.47,-12.59,1.22,6.376,2.8,0.016
2026-5-17 21:32:48:34,0.052,0.023,-0.939,-6.47,-28.259,13.611,2.42,-11.87,0.98,6.284,365.2,1.186
2026-5-17 21:32:48:54,0.049,-0.004,-0.977,-9.338,-29.602,13.489,2.27,-11.12,0.74,7.112,459.6,1.134
